"Detector" "Sample" "Cts"
S100A6 X919.1 54384.36
FLOT2 X919.1 52016.72
TEGT X919.1 29909.31
UBB X919.1 10226.19
TPT1 X919.1 7849.22
CFL1 X919.1 7900.02
ACTB X919.1 4413.7
RPS13 X919.1 9160.76
RPS23 X919.1 8849.32
GAPD X919.1 5314.31
UBC X919.1 7487.67
FLJ20030 X919.1 9572.73
ATP5B X847.1 28230.6
HSPCB X847.1 8493.74
S100A6 X847.1 9688.1
FLOT2 X847.1 18777.1
TEGT X847.1 25887.04
UBB X847.1 1085.47
TPT1 X847.1 3629.38
CFL1 X847.1 6163.83
ACTB X847.1 4255.06
RPS13 X847.1 3073.86
RPS23 X847.1 2688.04
GAPD X847.1 7454.18
UBC X847.1 5147.08
FLJ20030 X847.1 3696.49
ATP5B X839.1 77348.09
HSPCB X839.1 32661.23
S100A6 X839.1 43107.87
FLOT2 X839.1 105040.74
TEGT X839.1 96952.53
UBB X839.1 12321.51
TPT1 X839.1 34709.07
CFL1 X839.1 16611.82
ACTB X839.1 13969.84
RPS13 X839.1 21513.13
RPS23 X839.1 13664.58
GAPD X839.1 18175.26
UBC X839.1 17158.8
FLJ20030 X839.1 133210.99
ATP5B X875.1 27505.78
HSPCB X875.1 14243.57
S100A6 X875.1 17017.15
FLOT2 X875.1 64425.35
TEGT X875.1 34319.71
UBB X875.1 10418.59
TPT1 X875.1 12537.67
CFL1 X875.1 4465.57
ACTB X875.1 2988.78
RPS13 X875.1 12147.51
RPS23 X875.1 10586.96
GAPD X875.1 7440.09
UBC X875.1 5918.31
FLJ20030 X875.1 6307.93
ATP5B X1014.1 4453.35
HSPCB X1014.1 2496.56
S100A6 X1014.1 2968.09
FLOT2 X1014.1 6101.74
TEGT X1014.1 4014.62
UBB X1014.1 2302.05
TPT1 X1014.1 1681.57
CFL1 X1014.1 2465.37
ACTB X1014.1 3040.91
RPS13 X1014.1 1660.06
RPS23 X1014.1 1401.24
GAPD X1014.1 2197.12
UBC X1014.1 2626.8
FLJ20030 X1014.1 1328.64
ATP5B X1353.1 37338.32
HSPCB X1353.1 20847.53
S100A6 X1353.1 20580.49
FLOT2 X1353.1 30916.03
TEGT X1353.1 32932.33
UBB X1353.1 11155.54
TPT1 X1353.1 10095.46
CFL1 X1353.1 11413.71
ACTB X1353.1 10680.68
RPS13 X1353.1 15837.97
RPS23 X1353.1 8667.7
GAPD X1353.1 23408.51
UBC X1353.1 12821.29
FLJ20030 X1353.1 13260.46
ATP5B X839.2 44504.55
HSPCB X839.2 19476.57
S100A6 X839.2 4724.02
FLOT2 X839.2 23283.45
TEGT X839.2 40758.21
UBB X839.2 7311.46
TPT1 X839.2 5459.9
CFL1 X839.2 8179.4
ACTB X839.2 10147.73
RPS13 X839.2 13486.26
RPS23 X839.2 8648.76
GAPD X839.2 12004.47
UBC X839.2 12428.89
FLJ20030 X839.2 10151.03
ATP5B X607.1 28047.62
HSPCB X607.1 15246.18
S100A6 X607.1 25781.9
FLOT2 X607.1 70529.59
TEGT X607.1 41607.88
UBB X607.1 4205.84
TPT1 X607.1 6123.03
CFL1 X607.1 6190.66
ACTB X607.1 3397.94
RPS13 X607.1 8100.87
RPS23 X607.1 7589.9
GAPD X607.1 11344.94
UBC X607.1 8028.62
FLJ20030 X607.1 11489.17
ATP5B X1271.1 36379.65
HSPCB X1271.1 15989.71
S100A6 X1271.1 17017.15
FLOT2 X1271.1 72003.59
TEGT X1271.1 29097.72
UBB X1271.1 13358.02
TPT1 X1271.1 8968.07
CFL1 X1271.1 10563.62
ACTB X1271.1 10173.66
RPS13 X1271.1 16907.79
RPS23 X1271.1 6806.21
